fecha,origen,destino,envios,pallets,trailers,tortons,capacidad,ocupacion,horas_transito,hora_salida,llegada_hora,llegada_dia,km,costo,costo_por_pqt,km_real,km_final,costo_real
2023-06-18,Mérida,Campeche,292,5,0,1,14,0.35714285714285715,2.91666666666667,22:30,01:25,1.0,175.0000000000002,7000.000000000008,23.972602739726057,176.5,176.5,7060.0
2023-06-18,Mérida,Cancun,1058,18,1,0,28,0.6428571428571429,6.125,22:30,04:37,1.0,367.5,22050.0,20.841209829867676,303.4,303.4,18204.0
2023-06-18,Mérida,Chetumal,263,5,0,1,14,0.35714285714285715,6.5,22:30,05:00,1.0,390.0,15600.0,59.31558935361217,383.9,383.9,15356.0
2023-06-18,Mérida,Ciudad del Carmen,186,4,0,1,14,0.2857142857142857,7.0,22:30,05:30,1.0,420.0,16800.0,90.3225806451613,383.0,383.0,15320.0
2023-06-18,Mérida,Mérida,1125,19,1,0,28,0.6785714285714286,0.666666666666667,22:30,23:10,0.0,40.000000000000014,2400.000000000001,2.133333333333334,,40.000000000000014,2400.000000000001
2023-06-18,Mérida,Playa,253,5,0,1,14,0.35714285714285715,7.0,22:30,05:30,1.0,420.0,16800.0,66.40316205533597,287.8,287.8,11512.0
2023-06-18,Mérida,Tuxtla Gutierrez,142,3,0,1,14,0.21428571428571427,14.0,22:30,12:30,1.0,840.0,33600.0,236.61971830985917,802.1,802.1,32084.0
2023-06-18,Mérida,Villahermosa,242,5,0,1,14,0.35714285714285715,9.0,22:30,07:30,1.0,540.0,21600.0,89.25619834710744,560.3,560.3,22412.0
2023-06-18,Tepotzotlan,Campeche,595,10,0,1,14,0.7142857142857143,21.0,20:30,17:30,1.0,1260.0,50400.0,84.70588235294117,1187.8,1187.8,47512.0
2023-06-18,Tepotzotlan,Cancun,1082,19,1,0,28,0.6785714285714286,27.0,20:30,23:30,1.0,1620.0,97200.0,89.83364140480592,1663.2,1663.2,99792.0
2023-06-18,Tepotzotlan,Chetumal,335,6,0,1,14,0.42857142857142855,26.0,20:30,22:30,1.0,1560.0,62400.0,186.26865671641792,1380.4,1380.4,55216.0
2023-06-18,Tepotzotlan,Ciudad del Carmen,578,10,0,1,14,0.7142857142857143,17.8,20:30,14:18,1.0,1068.0,42720.0,73.91003460207612,982.9,982.9,39316.0
2023-06-18,Tepotzotlan,Mérida,995,17,1,0,28,0.6071428571428571,24.86664,20:30,21:21,1.0,1491.9984,89519.904,89.96975276381909,1365.4,1365.4,81924.0
2023-06-18,Tepotzotlan,Playa,947,16,1,0,28,0.5714285714285714,28.0,20:30,00:30,2.0,1680.0,100800.0,106.44139387539599,1647.6,1647.6,98856.0
