fecha,proceso,origen,destino,envios
18-Jun-23,FULL OUT,Mérida,Campeche,292
18-Jun-23,XD OUT V3,Tepotzotlan,Campeche,12
18-Jun-23,XD OUT,Tepotzotlan,Campeche,16
18-Jun-23,FULL OUT,Tepotzotlan,Campeche,105
18-Jun-23,FULL OUT,Tepotzotlan,Campeche,114
18-Jun-23,FULL OUT,Tepotzotlan,Campeche,123
18-Jun-23,XD OUT V4,Tepotzotlan,Campeche,225
18-Jun-23,FULL OUT,Mérida,Cancun,1058
18-Jun-23,RETURNS XD OUT,Tepotzotlan,Cancun,1
18-Jun-23,XD OUT,Tepotzotlan,Cancun,35
18-Jun-23,FULL OUT,Tepotzotlan,Cancun,160
18-Jun-23,FULL OUT,Tepotzotlan,Cancun,183
18-Jun-23,FULL OUT,Tepotzotlan,Cancun,304
18-Jun-23,XD OUT V4,Tepotzotlan,Cancun,399
18-Jun-23,FULL OUT,Mérida,Chetumal,263
18-Jun-23,XD OUT,Tepotzotlan,Chetumal,20
18-Jun-23,FULL OUT,Tepotzotlan,Chetumal,33
18-Jun-23,FULL OUT,Tepotzotlan,Chetumal,56
18-Jun-23,FULL OUT,Tepotzotlan,Chetumal,78
18-Jun-23,XD OUT V4,Tepotzotlan,Chetumal,148
18-Jun-23,FULL OUT,Mérida,Ciudad del Carmen,186
18-Jun-23,XD OUT,Tepotzotlan,Ciudad del Carmen,24
18-Jun-23,FULL OUT,Tepotzotlan,Ciudad del Carmen,37
18-Jun-23,FULL OUT,Tepotzotlan,Ciudad del Carmen,47
18-Jun-23,FULL OUT,Tepotzotlan,Ciudad del Carmen,223
18-Jun-23,XD OUT V4,Tepotzotlan,Ciudad del Carmen,247
18-Jun-23,FULL OUT,Mérida,Mérida,1125
18-Jun-23,RETURNS XD OUT,Tepotzotlan,Mérida,1
18-Jun-23,XD OUT,Tepotzotlan,Mérida,32
18-Jun-23,FULL OUT,Tepotzotlan,Mérida,131
18-Jun-23,FULL OUT,Tepotzotlan,Mérida,163
18-Jun-23,FULL OUT,Tepotzotlan,Mérida,260
18-Jun-23,XD OUT V4,Tepotzotlan,Mérida,408
18-Jun-23,FULL OUT,Mérida,Playa,253
18-Jun-23,XD OUT,Tepotzotlan,Playa,33
18-Jun-23,FULL OUT,Tepotzotlan,Playa,34
18-Jun-23,FULL OUT,Tepotzotlan,Playa,102
18-Jun-23,FULL OUT,Tepotzotlan,Playa,154
18-Jun-23,XD OUT V4,Tepotzotlan,Playa,624
18-Jun-23,FULL OUT,Mérida,Tuxtla Gutierrez,142
18-Jun-23,RETURNS XD OUT,Tepotzotlan,Tuxtla Gutierrez,2
18-Jun-23,XD OUT,Tepotzotlan,Tuxtla Gutierrez,129
18-Jun-23,FULL OUT,Tepotzotlan,Tuxtla Gutierrez,241
18-Jun-23,FULL OUT,Tepotzotlan,Tuxtla Gutierrez,412
18-Jun-23,XD OUT V4,Tepotzotlan,Tuxtla Gutierrez,1477
